author,title,pages,proc:editor,proc:title
"['Donald W. Loveland', 'Robert E. Shostak']",Simplifying Interpreted Formulas.,97-109,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Helga Noll'],A Note on Resolution: How to Get Rid of Factoring without Loosing Completeness.,250-263,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Hans-Josef Jeanrond'],Deciding Unique Termination of Permutative Rewriting Systems: Choose Your Term Algebra Carefully.,335-355,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Jean-Marie Hullot'],Canonical Forms and Unification.,318-334,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Joseph A. Goguen'],How to Prove Algebraic Inductive Hypotheses Without Induction.,356-373,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Leonard Friedman'],Reasoning by Plausible Inference.,126-142,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Peter B. Andrews'],Transforming Matings into Natural Deduction Proofs.,281-292,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Maurice Bruynooghe'],Analysis of Dependencies to Improve the Behaviour of Logic Programs.,293-305,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
"['Roddy W. Erickson', 'David R. Musser']",The AFFIRM Theorem Prover: Proof Forests and Management of Large Proofs.,220-231,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Jacek Leszczylowski'],"An Experiment with ""Edinburgh LCF"".",170-181,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
"['Luís Moniz Pereira', 'António Porto']",Selective Backtracking for Logic Programs.,306-317,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Rob Nederpelt'],An Approach to Theorem Proving on the Basis of a Typed Lambda-Calculus.,182-194,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Chris Goad'],Proofs as Description of Computation.,39-52,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
"['Paul Y. Gloess', 'Jean-Pierre H. Laurent']",Adding Dynamic Paramodulation to Rewrite Algorithms.,195-207,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
"['Luigia Carlucci Aiello', 'Richard W. Weyhrauch']",Using Meta-Theoretic Reasoning to do Algebra.,1-13,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
"['Philip T. Cox', 'Tomasz Pietrzykowski']","A Complete, Nonredundant Algorithm for Reversed Skolemization.",374-385,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
"['W. W. Bledsoe', 'Larry M. Hines']",Variable Elimination and Chaining in a Resolution-based Prover for Inequalities.,70-87,"['Wolfgang Bibel', 'Robert A. Kowalski']","5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings"
['Peter Kümmel'],Zur Implementierung von Dialoginhalten für eine relationale Abfragesprache.,94-113,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Franz Kneißl'],Eine Stack/String/Listen-Maschine für die Textverarbeitung.,32-49,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Manfred Broy'],Zur Spezifikation von Programmen für die Textverarbeitung.,75-93,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['H. Burkhardt', 'Jürg Nievergelt']",Structure-oriented Editors.,164-181,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['J. Schöffel', 'R. Thurmayr']",Anwendung der Textverarbeitung zur Erstellung von Operationsberichten.,287-300,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['B. Eickenscheidt', 'S. A. Slaby', 'H. Werner']",Automatische Übertragung von Texten in Blindenschrift.,50-63,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Jörg Schultze-Bohl'],Vorschlag für eine integrierte Anwendung von Textverarbeitung und Datenbanksystem für Anwaltskanzleien.,343-360,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Gerhard Fischer'],Cognitive Dimensions of Information Manipulation Systems.,17-31,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['R.-J. Fischer'],Distanzmaße zwischen Zeichenreihen - Definitionen und Algorithmen.,127-138,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['W. Kaiser', 'H. Th. Hagmeyer']",Elektronische Textkommunikation.,185-211,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['Gerhard Knorz', 'G. Putze']",Textverarbeitung zur Vorbereitung und Durchführung einer automatischen Indexierung.,139-163,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['D. Köberl', 'W. Geigl', 'M. Scherer', 'H. Schier']",Die Klartextverarbeitung und Informationserschließung von medizinischen Befundtexten.,301-320,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Paul Schmitz'],Textverarbeitung und Informatik.,1-14,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Friedbert Jochum'],Semantik-orientiertes Retrieval natürlichsprachlicher Texte.,114-126,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Peter Weidner'],"Die Integration des neuen Textkommunikationsdienstes TELETEX in das ""integrierte Fernschreib- und Datennetz"" der Deutschen Bundespost mit dem Siemens System EDS.",212-230,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
"['W. Schneider', 'Joachim Dudeck', 'W. Sager']",Intelligente Texterfassung mit Fehlerkontrolle auf einem Mikroprozessorsystem (KLAUKON).,267-286,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['K. Schenke'],TELETEX - Ein neuer internationaler Fernmeldedienst für die Textkommunikation.,231-255,['Peter R. Wossidlo'],"Textverarbeitung und Informatik, Fachtagung der GI, Bayreuth, 28.-30. Mai 1980"
['Dana Angluin'],Local and Global Properties in Networks of Processors (Extended Abstract),82-93,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['Deborah Joseph', 'Paul Young']",Independence Results in Computer Science? (Preliminary Version),58-69,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['Richard A. DeMillo', 'Richard J. Lipton']","The Consistency of ""P = NP"" and Related Problems with Fragments of Number Theory.",45-57,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['Hartmut Ehrig', 'Bernd Mahr']",Complexity of Implementations on the Level of Algebraic Specifications,281-293,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
['Joseph JáJá'],Time-Space Tradeoffs for some Algebraic Problems,339-350,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
['Martin Tompa'],An Optimal Solution to a Wire-Routing Problem (Preliminary Version),161-176,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
['Nancy A. Lynch'],Fast Allocation of Nearby Resources in a Distributed System,70-81,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['Kenneth J. Supowit', 'David A. Plaisted', 'Edward M. Reingold']",Heuristics for Weighted Perfect Matching,398-419,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
['Ronald Fagin'],Horn Clauses and Database Dependencies (Extended Abstract),123-134,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['Michael J. Fischer', 'Mike Paterson']",Optimal Tree Layout (Preliminary Version),177-189,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['John H. Reif', 'Paul G. Spirakis']",Random Matroids,385-397,"['Raymond E. Miller', 'Seymour Ginsburg', 'Walter A. Burkhard', 'Richard J. Lipton']","Proceedings of the 12th Annual ACM Symposium on Theory of Computing, April 28-30, 1980, Los Angeles, California, USA"
"['Jacques Guyard', 'Pierre Lescanne']",Manipulation d'arbres syntaxiques et contruction de programmes.,208-224,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['S. Gill Williamson'],L'arbre des cycles d'un graphe.,241-261,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
"['Manfred Broy', 'Martin Wirsing']",Programming languages as abstract data types.,160-177,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['Helmut Thiele'],On equivalent transformations of binary search trees.,95-109,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['Bernard Robinet'],La programmaion fonctionnelle de Backus est-elle système de manipulation d'arbres?,83-94,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['Jocelyne Mongy'],Closure of recognisable tree-languages under intersection and morphisms.,135-149,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['Andrzej Wlodzimierz Mostowski'],Finite automata on infinite trees and subtheories of SkS.,228-240,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['Alberto Pettorossi'],Synthesis of subtree rewriting systems behaviour by solving equations.,63-74,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
"['Didier Bégay', 'Laurent Kott']",Preuves de programmes sans induction.,182-198,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
"['Philippe Flajolet', 'Jean-Marc Steyaert']",On the analysis of tree-matching algorithms.,22-40,,"Proc. 5eme Colleque de Lille sur les Arbres en Algebre et en Programmation, Lilli, France, 21, 22 et 23 févier 1980"
['Janis A. Bubenko Jr.'],Information Modeling in the Context of System Development.,395-411,,
['Claude Delobel'],An Overview of the Relational Data Theory.,413-426,,
['W. Frank King III'],Relational Database Systems: Where We Stand Today.,369-381,,
['Gordon Pask'],The Limits of Togetherness.,999-1012,,
['Charles W. Bachman'],The Impact Structured Data Throughout Computer-Based Information Systems.,383-394,,
['Enn Tyugu'],Towards Practical Synthesis of Programs.,207-219,,
['Maurice Nivat'],Non Deterministic Programs: An Algebraic Overview.,17-28,,
['Peter T. Kirstein'],New Text and Message Services.,521-535,,
['Jean Salmona'],"Information Systems, Develoment and Structural Changes.",767-781,,
['Janusz A. Brzozowski'],Developments in the Theory of regular Languages.,29-40,,
['Vadim E. Kotov'],On Basic Parallel Language.,229-240,,
"['Erich J. Neuhold', 'Thomas Olnhoff']",The Vienna Development Method (VDM) and its Use for the Specification of a Rational Data Base System.,3-16,,
['Wolfgang Leutert'],Die OKAL-Online-Buchhaltung.,271-285,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Christof Möller'],Plankalkulation und Kostenträgerrechnung online als integrative Bestandteile eines EDV-Fertigungssteuerungs-Systems.,379-391,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Ernst Böhm'],IBM Online-Buchhaltung IFS.,83-106,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Erhard Reblin'],Stapel- oder Dialogverarbeitung im Rechnungswesen.,43-55,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Reinhart Schmidt'],Modellgestützte Generierung von Planbilanzen mit PLASMA.,201-219,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Heinrich Sprenger'],Das Online-Informationssystem im Großhandel der REWE Lebensmittel-Großhandel eG. Schwerte.,457-475,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Hans-Friedrich Hadeler'],Das Debitoren-System der Rank Xerox GmbH.,252-270,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Klaus Peinze'],Online-Vorkalkulation kaltgewalzter Bänder.,442-456,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Friederich Ipsen'],Praktischer Einsatz von Buchhaltungs- und Betriebsabrechnungssystemen im Dialogbetrieb für Klein- und Mittelbetriebe.,155-169,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Hermann Langer'],AKIS - Ein Kosteninformationssystem der Hoechst AG.,416-430,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Wolfgang Wirtz'],Erfahrungen bei der Umstellung der Finanzbuchhaltung vom Stapel- auf den Dialogbetrieb.,353-367,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
"['Joachim Griese', 'Tillmann Hüttenhain', 'Karl Wilms']",Empirische Untersuchungen bei Anwendern von Finanzbuchhaltungssystemen.,56-71,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Edgar Gillich'],Buchhaltung im Dialog - eine Voraussetzung für mehr Wirtschaftlichkeit und Aktualität im Rechnungswesen.,107-137,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Martin Heidötting'],MARS - Der Einsatz eines computergestützten Planungssystems am Beispiel eines Krankenhauses.,491-506,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Manfred Friedrich'],Online-Systeme im Finanz- und Rechnungswesen der G. Bauknecht GmbH.,240-251,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Paul Riebel'],Neuere Entwicklungen in der Kostenrechnung.,1-31,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Walter Heisel'],Online-orientierte Grundsatzverfahren des Kienzle-Systems 9066 für das Finanz- und Rechnungswesen.,138-154,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Volkhart Schmidt'],Implementierungsprobleme bei Online-Systemen im Finanz- und Rechnungswesen.,189-200,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Hermann Schmidt'],PHIDAS-Finanzbuchführung und Kostenrechnung als Bestandteil eines rechnergestützten Online-Informationssystems in der Werkzeugmaschinenfabrik Kapp & Co.,338-352,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Peter Schehka'],Erfahrungen mit 20 Installationen des Systems FIBBS (Finanzbuchhaltung mit Betriebswirtschaft und Bildschirmen).,170-188,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Rudolf Schneider'],Online-Kalkulation (Erzeugniskostenermittlung) und Kostenträgerrechnung bei SKF.,392-405,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Herbert Obermüller'],Erfahrungen beim Einsatz des Systems SAFIR bei der Südmilch AG.,286-297,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Eckhard Bernshausen'],Einsatz der Dialogbuchhaltung UNIREF/90 in der SIEMAG Rechenzentrum GmbH.,507-524,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Johannes Puhl'],Bildschirmgestützte Abwicklung 'Debitoren-Inland' im Hause Otto Wolff.,298-309,['Peter Stahlknecht'],"Online-Systeme im Finanz- und Rechnungswesen, Anwendergespräch, Berlin, 29.-30. April 1980, Gesellschaft für Informatik e.V. und Verband der Hochschullehrer für Betriebswirtschaft e.v. (WK Betriebsinformatik)"
['Hans Henrik Lovengreen'],Parallelism in Ada.,309-434,"['Dines Bjørner', 'Ole N. Oest']",Towards a Formal Description of Ada
"['Jørgen Bundgaard', 'Lennart Schultz']",A Denotational (Static) Semantics Method for Defining Ada Context Conditions.,21-212,"['Dines Bjørner', 'Ole N. Oest']",Towards a Formal Description of Ada
['Ole Dommergaard'],The Design of a Virtual Machine for Ada.,435-606,"['Dines Bjørner', 'Ole N. Oest']",Towards a Formal Description of Ada
['Dines Bjørner'],Reference Manual for the Meta-Language.,607-623,"['Dines Bjørner', 'Ole N. Oest']",Towards a Formal Description of Ada
"['Dines Bjørner', 'Ole N. Oest']",The DDC Ada Compiler Development Project.,1-20,"['Dines Bjørner', 'Ole N. Oest']",Towards a Formal Description of Ada
['Jan Storbank Pedersen'],A Formal Semantics Definition of Sequential Ada.,213-308,"['Dines Bjørner', 'Ole N. Oest']",Towards a Formal Description of Ada
"['H. K. Huang', 'Menfai Shiu', 'F. R. Suarez']",Anatomical Cross-Sectional Geometry and Density Distribution Data Base.,351-367,,
['Isamu Kobayashi'],Cartographic Databases.,322-350,,
"['Shi-Kuo Chang', 'B. S. Lin', 'R. Walser']",A Generalized Zooming Technique for Pictorial Database System.,257-287,,
"['Y. Edmund Lien', 'Susan K. Harris']",Structured Implementation of an Image Query Language.,416-430,,
"['Ning-San Chang', 'King-sun Fu']",A Relational Database System for Images.,288-321,,
['Y. T. Chien'],"Hierarchical Data Structures for Picture Storage, Retrieval and Classification.",39-74,,
['Theodosios Pavlidis'],Structural Descriptions and Graph Grammars.,86-103,,
['Hideyuki Tamura'],Image Database Management for Pattern Information Processing Studies.,198-227,,
['King-sun Fu'],Picture Syntax.,104-127,,
"['Joseph Olu Omolayole', 'Allen Klinger']",A Hierarchical Data Structure Scheme for Storing Pictures.,1-38,,
"['J. L. Reuss', 'Shi-Kuo Chang', 'Bruce H. McCormick']",Picture Paging for Efficient Image Processing.,228-256,,
['Edward T. Lee'],Similarity Retrieval Techniques.,128-176,,
['Murat Kunt'],Electronic File for X-ray Pictures.,368-415,,
"['Albert L. Zobrist', 'Nevin A. Bryant']",Designing an Image Based Information System.,177-197,,
['Bharat K. Bhargava'],Design of Intelligent Query Systems for Large Databases.,431-445,,
['John W. Nall'],Utilizing IBM plug-compatible disks on the CDC channel.,118-130,['E. P. Miles Jr.'],"Proceedings of the 18th Annual Southeast Regional Conference, 1980, Tallahassee, Florida, USA, March 24-26, 1980"
"['Constantine Halatsis', 'Andries van Dam', 'J. Joosten', 'M. Letheren']",Architectural Considerations for a Microprogrammable Emulating Engine Using Bitslices.,278-291,"['Jacques Lenfant', 'Barry R. Borgerson', 'Daniel E. Atkins', 'Keki B. Irani', 'David Kinniment', 'Hideo Aiso']","Proceedings of the 7th Annual Symposium on Computer Architecture, May 1980"
"['Butler W. Lampson', 'Kenneth A. Pier']",A Processor for a High-Performance Personal Computer.,146-160,"['Jacques Lenfant', 'Barry R. Borgerson', 'Daniel E. Atkins', 'Keki B. Irani', 'David Kinniment', 'Hideo Aiso']","Proceedings of the 7th Annual Symposium on Computer Architecture, May 1980"
"['Daniel T. L. Lee', 'Martin Morf']",Recursive square-root ladder estimation algorithms.,1005-1017,,"IEEE International Conference on Acoustics, Speech, and Signal Processing, ICASSP '80, Denver, Colorado, April 9-11, 1980"
['Barry L. Clark'],A comparative evaluation of several bearings-only tracking filters.,833-847,,"IEEE International Conference on Acoustics, Speech, and Signal Processing, ICASSP '80, Denver, Colorado, April 9-11, 1980"
['Ketil Bo'],Data Base Design.,226-261,['José L. Encarnação'],"Computer Aided Design: Modelling, Systems Engineering, CAD-Systems - CREST Advanced Course, Darmstadt, Germany, September 8-19, 1980"
['L. Thieme'],"CAD/CAM Einsatz in Entwurf, Konstruktion und Fertigung von Flugzeugen.",104-118,['Reinhard Wilhelm'],"CAD-Fachgespräch, GI - 10. Jahrestagung, Saarbrücken, 30. September - 2. Oktober 1980, Proceedings"
['Hugh A. Tucker'],Infrastructure Approach to Integrated CAD Systems.,430-444,['José L. Encarnação'],"Computer Aided Design: Modelling, Systems Engineering, CAD-Systems - CREST Advanced Course, Darmstadt, Germany, September 8-19, 1980"
['Ketil Bo'],Choice of Turnkey System.,445-459,['José L. Encarnação'],"Computer Aided Design: Modelling, Systems Engineering, CAD-Systems - CREST Advanced Course, Darmstadt, Germany, September 8-19, 1980"
['Horst Nowacki'],Modelling of Design Decision for CAD.,177-223,['José L. Encarnação'],"Computer Aided Design: Modelling, Systems Engineering, CAD-Systems - CREST Advanced Course, Darmstadt, Germany, September 8-19, 1980"
['Bernd Wingert'],Auswirkung des technischen Wandels auf berufliche Qualifikation am Beispiel von CAD.,146-160,['Reinhard Wilhelm'],"CAD-Fachgespräch, GI - 10. Jahrestagung, Saarbrücken, 30. September - 2. Oktober 1980, Proceedings"
['Ketil Bo'],Hardware for Computer Graphics and Computer Aided Design.,293-328,['José L. Encarnação'],"Computer Aided Design: Modelling, Systems Engineering, CAD-Systems - CREST Advanced Course, Darmstadt, Germany, September 8-19, 1980"
['Thomas Neuman'],CAD Base Requirements and Architectures.,262-292,['José L. Encarnação'],"Computer Aided Design: Modelling, Systems Engineering, CAD-Systems - CREST Advanced Course, Darmstadt, Germany, September 8-19, 1980"
