author,count
Jean Le Bihan,2
Christian Esculier,2
L. Treille,2
Lawrence J. Henschen,2
Paul Y. Gloess,2
Ewing L. Lusk,2
Laurent Kott,2
Jean-Marie Hullot,2
Leonard Friedman,2
Roddy W. Erickson,2
Luigia Carlucci Aiello,2
Kimball P. Stickney,2
Blair D. McKay,2
Guy Fedorkow,2
Kenneth C. Smith,2
Leland Smith,2
Peter Kümmel,2
S. Stiller,2
Wolfgang Kaspar,2
Reinhard Remke,2
Jürg Nievergelt,2
Gerhard Fischer,2
Gerhard Knorz,2
Stephen A. Cook,2
Jia-Wei Hong,2
Joseph JáJá,2
Albert R. Meyer,2
Martin Tompa,2
Richard P. Brent,2
Donna J. Brown,2
Fereidoon Sadri,2
Grazyna Mirkowska,2
David P. Dobkin,2
Vaughan R. Pratt,2
Janos Simon,2
Andrzej Wlodzimierz Mostowski,2
Jacques Guyard,2
Pierre Lescanne,2
Gisbert Dittrich,2
Wolfgang Merzenich,2
Alberto Pettorossi,2
C. K. Wong,2
Zohar Manna,2
Tsutomu Kawada,2
Gunter Schlageter,2
Syunsuke Uemura,2
Yasuo Sugawara,2
Janis A. Bubenko Jr.,2
Ronald M. Kaplan,2
B. A. Sheil,2
Kiyoshi Shibayama,2
Shinji Tomita,2
Hiroshi Hagiwara,2
Toshiaki Kitamura,2
Won Kim,2
Juan M. Andrade,2
F. Fernandez,2
Norbert Szyperski,2
Maurice Nivat,2
Barry W. Boehm,2
Olivier D. Faugeras,2
Patrice Enjalbert,2
Tamás Gergely,2
Toyoaki Nishida,2
Shuji Doshita,2
Giovanna Giordano,2
David S. Burris,2
Kurt A. Schember,2
Bill Brown,2
Thomas G. Windeknecht,2
Pamela K. Coats,2
Eugene M. Strand,2
S. S. Stephenson,2
Jainendra K. Navlakha,2
Robert J. McMillen,2
Howard Jay Siegel,2
Jay F. Nunamaker Jr.,2
Richard O. Mason,2
Gary W. Dickson,2
Izak Benbasat,2
Blake Ives,2
Gordon B. Davis,2
Charles H. Kriebel,2
John F. Rockart,2
Bradley W. Dickinson,2
Tapio Saramäki,2
Yrjö Neuvo,2
Jae S. Lim,2
David B. Pisoni,2
Joachim Lenzer,2
Leah J. Siegel,2
Charles R. Davis,2
R. Viswanathan,2
William Russell,2
A. Higgins,2
Michael G. Berouti,2
Alan V. Oppenheim,2
Douglas Preis,2
Harvey F. Silverman,2
Elliot Singer,2
Robert E. Wohlford,2
Fred J. Taylor,2
Shmuel Winograd,2
Russell M. Mersereau,2
Adly T. Fam,2
C. Richard Johnson Jr.,2
Simon Haykin,2
Kenneth Steiglitz,2
R. Lynn Kirlin,2
Moustafa M. Fahmy,2
Daniel T. L. Lee,2
Subrata K. Das,2
Carlo Scagliola,2
Marcian E. Hoff Jr.,2
Clifford T. Mullis,2
Richard A. Roberts,2
John D. Markel,2
Augustine H. Gray Jr.,2
James L. Melsa,2
Chong Kwan Un,2
David G. Messerschmitt,2
Robert J. McAulay,2
Louis L. Scharf,2
A. A. (Louis) Beex,2
J. B. Plant,2
Yiu-Tong Chan,2
David Malah,2
James D. Johnston,2
Allen M. Peterson,2
Ronald E. Crochiere,2
José M. Tribolet,2
Horst Nowacki,2
A. Alan B. Pritsker,2
Thomas J. Schriber,2
H. Becker,2
H. Dieter Rombach,2
Peter Rechenberg,2
Helmut Balzert,2
Hans H. Kron,2
Jan Witt,2
Friedrich W. Beichter,2
Werner Simonsmeier,2
Steven I. Kartashev,2
Svetlana P. Kartashev,2
Edward Y. S. Lee,2
Douglas C. Shannon,2
Samprakash Majumdar,2
J. Pipper,2
W. Heinrich,2
G. Busse,2
Larry Masinter,2
Steven S. Muchnick,2
Erik Sandewall,2
Henrik Sörensen,2
Claes Strömberg,2
Drew V. McDermott,2
Donald P. McKay,2
Stuart C. Shapiro,2
Robert M. Keller,2
Wilfried Frankenbach,2
Hartmut Picht,2
Volker Bihl,2
Kenneth L. Kraemer,2
Hanns Püschel,2
Friedrich Hertweck,2
Helmut K. Berg,2
Reinhold Güth,2
Wolfgang K. Giloi,2
Lutz Richter,2
Mars K. Valiev,2
István Németi,2
Gordon D. Plotkin,2
