author,title,pages,proc:editor,proc:title
['Mary Shaw'],"Abstraction, Data Types, and Models for Software.",189-191,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Clesio Saraiva dos Santos', 'Antonio L. Furtado', 'José Mauro Volkmer de Castilho', 'Sergio E. R. de Carvalho']",Towards Constructive Axiomatic Specifications.,183-185,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['L. Peter Deutsch', 'Jaime G. Carbonell', 'Charles Rich', 'Raymond Reiter', 'Hartmut Wedekind', 'Patrick J. Hayes']",Presentation (discussion).,62-71,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['L. Peter Deutsch'],Constraints: A Uniform Model for Data and Control.,118-120,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['John Mylopoulos'],A Perspective for Research on Conceptual Modelling.,167-170,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Burt M. Leavenworth'],A Data Abstraction Approach to Database Modelling.,147-149,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Antonio Albano', 'Renzo Orsini']",An Interactive Integrated System to Design and Use Data Bases.,91-93,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Bengt G. Lundberg', 'Janis A. Bubenko Jr.']",Axiomatic Information Modeling.,153-154,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Stephen N. Zilles'],"Types, Algebras and Modelling.",207-209,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Joachim W. Schmidt'],"Design, Specification and Application.",186-188,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
